rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
2-х комнатная квартира,,,139900.0,1,1,Квартира с ливингом,Индивидуальный дизайн,Застройщик,,Новострой,Poliprim Grup,5,2.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Gheorghe Madan 50/4,65
Комната,,,34000.0,,,,,Агентство,,Вторичный,,5,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 66/2,14
2-х комнатная квартира,,,82000.0,,,,,Агентство,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo 13/4,42
1-комнатная квартира,Гараж,,57600.0,,1,Квартира с ливингом,Белый вариант,Застройщик,Mонолитный,Новострой,,6,6.0,Кишинёв мун.,Криково,Центр,str. Vasile Alescandri 5,48
1-комнатная квартира,Oткрытое,Индивидуальная,23900.0,Нет,1,,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti .,16
2-х комнатная квартира,Oткрытое,Индивидуальная,155000.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,1.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân .,65
3-х комнатная квартира,,,119900.0,1,1,Квартира с ливингом,Eвроремонт,Частное лицо,,Вторичный,,5,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski 12,60
2-х комнатная квартира,,,73600.0,,,Квартира с ливингом,,Застройщик,,Новострой,Solomon Construct Imobil,12,7.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 100/2,64
2-х комнатная квартира,Oткрытое,,59900.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,6,3.0,Бельцы мун.,Бельцы,Молодово,str. Ștefan cel Mare și Sfînt 189,67
3-х комнатная квартира,,,73000.0,,,,Косметический pемонт,Агентство,,Вторичный,,2,1.0,Кишинёв мун.,Кишинёв,Телецентр,str. Alexandru Cosmescu *,58
2-х комнатная квартира,,,136900.0,1,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Exfactor-grup,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,Dacia -,85
1-комнатная квартира,,Индивидуальная,60500.0,,,,Eвроремонт,Частное лицо,Mонолитный,Новострой,,14,11.0,Расположение,,,,27
1-комнатная квартира,,Индивидуальная,60500.0,Нет,,,Eвроремонт,Застройщик,,Вторичный,,14,11.0,Расположение,,,,27
1-комнатная квартира,,,65050.0,,,,,Агентство,,Новострой,Varicom,9,6.0,Кишинёв мун.,Кишинёв,Старая Почта,str-la Studenților 18,48
1-комнатная квартира,,,58500.0,,,,,Агентство,,Вторичный,,4,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nicolae Titulescu 20,35
2-х комнатная квартира,,,235950.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,Ecovzor,13,13.0,Кишинёв мун.,Кишинёв,Старая Почта,Iazului  38,143
2-х комнатная квартира,Гараж,Индивидуальная,81432.0,Нет,1,Квартира без ливинга,Белый вариант,Застройщик,Ячеистый Бетон,Новострой,Astercon,6,6.0,Кишинёв мун.,Дурлешты,Центр,str. Durlești 8,56
1-комнатная квартира,Oткрытое,Индивидуальная,86500.0,1,1,,Eвроремонт,Агентство,Ячеистый Бетон,Новострой,Basconslux,10,8.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 2/4,42
5-ти комн. кварт. и более,,,975000.0,2,4 и более,,Eвроремонт,Частное лицо,,Новострой,,6,,Кишинёв мун.,Кишинёв,Центр,str. Mihai Eminescu 41/1,324
1-комнатная квартира,,,36005.0,1,1,,,Застройщик,,Новострой,Boiar House,10,4.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,38
1-комнатная квартира,,,64960.0,1,1,Квартира без ливинга,,Агентство,,Новострой,,15,13.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Cucorilor 82,47
3-х комнатная квартира,,,89000.0,,,,Незавершенное cтроительство,Застройщик,,Новострой,,3,2.0,Хынчешты,Хынчешты,Центр,Vieru 18,70
2-х комнатная квартира,Подземная,,139900.0,,1,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,,10,7.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 95,72
1-комнатная квартира,,,79900.0,1,1,Квартира с ливингом,,Агентство,Kирпичный,Новострой,Estate Invest Company,11,3.0,Кишинёв мун.,Дурлешты,Окраина,str. Ialoveni 136,53
1-комнатная квартира,,,74900.0,1,1,Квартира с ливингом,,Агентство,Kирпичный,Новострой,Lagmar Impex,16,9.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Tudor Vladimirescu 1,48
2-х комнатная квартира,Подземная,,108600.0,1,2,Квартира с ливингом,Белый вариант,Агентство,Kомбинированный,Новострой,,10,3.0,Кишинёв мун.,Дурлешты,Центр,Cartusa 95,73
