rooms,bathroom,apartment_condition,total_floors,floor,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center,geocode_missing,latitude_for_model,longitude_for_model,distance_to_sector_center_for_model,bathroom_missing,apartment_condition_missing,rooms_missing,floor_ratio_missing,city_Дурлешты,city_Кишинёв,city_Криково,city_Ставчены,sector_Ботаника,sector_Буюканы,sector_Окраина,sector_Рышкановка,sector_Скулянка,sector_Старая Почта,sector_Телецентр,sector_Центр,sector_Чокана
2.0,2.0,4.0,10,9.0,85,1610.5882352941176,0.9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.9844613,28.8601544,610.547511560731,0,46.9844613,28.8601544,610.547511560731,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,4.0,9,6.0,48,1355.2083333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.067136,28.8464754,3140.764898584909,0,47.067136,28.8464754,3140.764898584909,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,4.0,4,4.0,35,1671.4285714285713,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9942956,28.8671448,1218.2196158255074,0,46.9942956,28.8671448,1218.2196158255074,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,2.0,0.0,13,13.0,143,1650.0,1.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0624684,28.844226,2900.10828889157,0,47.0624684,28.844226,2900.10828889157,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2.0,1.0,0.0,6,6.0,56,1454.142857142857,1.0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,47.0446369,28.7457465,3136.297581269001,0,47.0446369,28.7457465,3136.297581269001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,10,8.0,42,2059.5238095238096,0.8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,47.0576143,28.8493424,3304.7239582045922,0,47.0576143,28.8493424,3304.7239582045922,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5.0,4.0,4.0,6,5.0,324,3009.259259259259,0.5714285714285714,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0206885,28.8343823,410.12021566368446,0,47.0206885,28.8343823,410.12021566368446,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,10,4.0,38,947.5,0.4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0132668,28.7511952,1098.787581805104,0,47.0132668,28.7511952,1098.787581805104,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,15,13.0,47,1382.127659574468,0.8666666666666667,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0634276,28.8405855,2633.5978603960184,0,47.0634276,28.8405855,2633.5978603960184,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2.0,1.0,4.0,10,7.0,72,1943.0555555555557,0.7,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.0150305,28.7479648,1222.3054126286884,0,47.0150305,28.7479648,1222.3054126286884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
